,都道府県名,平成30年面積(k㎡)
0,北海道,83423.83
1,青森県,9645.65
2,岩手県,15275.01
3,宮城県,7282.23
4,秋田県,11637.52
5,山形県,9323.15
6,福島県,13783.9
7,茨城県,6097.33
8,栃木県,6408.09
9,群馬県,6362.28
10,埼玉県,3797.75
11,千葉県,5157.61
12,東京都,2193.96
13,神奈川県,2416.16
14,新潟県,12584.23
15,富山県,4247.61
16,石川県,4186.05
17,福井県,4190.52
18,山梨県,4465.27
19,長野県,13561.56
20,岐阜県,10621.29
21,静岡県,7777.35
22,愛知県,5172.96
23,三重県,5774.42
24,滋賀県,4017.38
25,京都府,4612.2
26,大阪府,1905.29
27,兵庫県,8400.95
28,奈良県,3690.94
29,和歌山県,4724.65
30,鳥取県,3507.14
31,島根県,6708.27
32,岡山県,7114.33
33,広島県,8479.61
34,山口県,6112.53
35,徳島県,4146.75
36,香川県,1876.78
37,愛媛県,5676.24
38,高知県,7103.63
39,福岡県,4986.51
40,佐賀県,2440.7
41,長崎県,4130.9
42,熊本県,7409.5
43,大分県,6340.73
44,宮崎県,7735.32
45,鹿児島県,9187.02
46,沖縄県,2281.05
