,都道府県,総数
0,北海道,5381733
1,青森県,1308265
2,岩手県,1279594
3,宮城県,2333899
4,秋田県,1023119
5,山形県,1123891
6,福島県,1914039
7,茨城県,2916976
8,栃木県,1974255
9,群馬県,1973115
10,埼玉県,7266534
11,千葉県,6222666
12,東京都,13515271
13,神奈川県,9126214
14,新潟県,2304264
15,富山県,1066328
16,石川県,1154008
17,福井県,786740
18,山梨県,834930
19,長野県,2098804
20,岐阜県,2031903
21,静岡県,3700305
22,愛知県,7483128
23,三重県,1815865
24,滋賀県,1412916
25,京都府,2610353
26,大阪府,8839469
27,兵庫県,5534800
28,奈良県,1364316
29,和歌山県,963579
30,鳥取県,573441
31,島根県,694352
32,岡山県,1921525
33,広島県,2843990
34,山口県,1404729
35,徳島県,755733を
36,香川県,976263
37,愛媛県,1385262
38,高知県,728276
39,福岡県,5101556
40,佐賀県,832832
41,長崎県,1377187
42,熊本県,1786170
43,大分県,1166338
44,宮崎県,1104069
45,鹿児島県,1648177
46,沖縄県,1433566
